,fighter_r,fighter_b,winner,total_wins_r,total_losses_r,total_draws_r,total_nc_r,height_r,weight_r,reach_r,stance_r,dob_r,slpm_r,str_acc_r,sapm_r,str_def_r,td_avg_r,td_acc_r,td_def_r,sub_avg_r,total_wins_b,total_losses_b,total_draws_b,total_nc_b,height_b,weight_b,reach_b,stance_b,dob_b,slpm_b,str_acc_b,sapm_b,str_def_b,td_avg_b,td_acc_b,td_def_b,sub_avg_b
2698,Daniel Kelly,Sam Alvey,Sam Alvey,13,4,0,0,"6'0""",185,"70""",Southpaw,10/31/1977,3.62,38%,4.64,61%,1.86,34%,78%,0.3,33,14,1,1,"6'2""",205,"75""",Southpaw,5/06/1986,3.17,44%,3.26,55%,0.08,16%,82%,0.1
2699,Dylan Andrews,Brad Scott,Brad Scott,18,7,0,1,"6'1""",185,"74""",Switch,11/15/1979,2.21,50%,2.72,46%,2.83,50%,57%,0.4,11,6,0,0,"6'1""",170,"76""",Orthodox,6/24/1989,3.52,41%,4.31,57%,0.32,15%,63%,0.7
2700,Alex Chambers,Kailin Curran,Alex Chambers,5,5,0,0,"5'3""",115,"63""",Southpaw,10/25/1978,2.97,54%,5.1,50%,2.31,41%,53%,1.0,4,5,0,0,"5'4""",115,"65""",Orthodox,4/11/1991,3.89,43%,4.75,53%,2.0,57%,61%,0.6
2701,Vik Grujic,Brendan O'Reilly,Brendan O'Reilly,6,6,0,0,"5'11""",170,"73""",Orthodox,2/06/1977,2.24,48%,3.39,41%,1.18,33%,26%,0.4,6,3,0,1,"5'7""",170,"69""",Orthodox,6/24/1987,1.9,47%,2.77,39%,2.22,43%,36%,0.6
2702,Alptekin Ozkilic,Ben Nguyen,Ben Nguyen,9,5,0,0,"5'5""",125,"65""",Orthodox,3/27/1986,3.81,32%,5.72,59%,4.21,58%,75%,0.0,16,8,0,0,"5'5""",125,"65""",Switch,8/03/1988,3.51,40%,3.01,59%,0.25,33%,63%,1.0
2703,Demetrious Johnson,Kyoji Horiguchi,Demetrious Johnson,27,3,1,0,"5'3""",125,"66""",Orthodox,8/13/1986,3.43,54%,1.66,67%,3.35,56%,65%,0.5,19,2,0,0,"5'5""",125,"66""",Orthodox,10/12/1990,3.6,45%,2.45,62%,2.0,44%,55%,0.0
2704,Quinton Jackson,Fabio Maldonado,Quinton Jackson,37,12,0,0,"6'1""",205,"73""",Orthodox,6/20/1978,3.25,54%,2.51,55%,1.52,56%,73%,0.1,23,11,0,0,"6'1""",205,"75""",Orthodox,3/17/1980,5.29,58%,4.31,53%,0.44,57%,61%,0.6
2705,Michael Bisping,CB Dollaway,Michael Bisping,30,9,0,0,"6'1""",185,"75""",Orthodox,2/28/1979,4.33,38%,2.71,65%,1.05,43%,63%,0.3,17,9,0,0,"6'2""",185,"76""",Orthodox,8/10/1983,2.65,47%,2.58,54%,3.55,54%,62%,1.2
2706,John Makdessi,Shane Campbell,John Makdessi,17,7,0,0,"5'8""",155,"68""",Orthodox,5/03/1985,5.36,51%,3.76,70%,0.0,0%,88%,0.0,14,6,0,0,"6'0""",155,"71""",Orthodox,1/21/1987,3.99,59%,3.19,55%,1.36,28%,82%,0.0
2707,Yves Jabouin,Thomas Almeida,Thomas Almeida,20,11,0,0,"5'7""",135,"68""",Orthodox,5/30/1979,3.06,41%,2.93,62%,1.94,60%,82%,0.1,22,4,0,0,"5'7""",145,"70""",Southpaw,7/31/1991,5.39,44%,4.69,64%,0.0,0%,75%,0.0
2708,Patrick Cote,Joe Riggs,Patrick Cote,23,11,0,0,"5'11""",170,"75""",Orthodox,2/29/1980,2.81,48%,3.21,48%,0.68,20%,43%,0.2,44,17,0,1,"6'0""",185,"70""",Southpaw,9/23/1982,2.41,51%,1.69,57%,2.45,55%,62%,0.6
2709,Alexis Davis,Sarah Kaufman,Alexis Davis,20,10,0,0,"5'6""",135,"68""",Orthodox,10/04/1984,4.18,47%,4.18,55%,0.94,40%,34%,0.8,18,4,0,1,"5'5""",135,"66""",Orthodox,9/20/1985,6.65,46%,4.0,62%,0.38,57%,81%,0.0
2710,Chad Laprise,Bryan Barberena,Chad Laprise,13,4,0,0,"5'10""",170,"71""",Orthodox,7/23/1986,4.78,42%,3.59,65%,1.05,54%,78%,0.0,15,7,0,0,"6'0""",170,"72""",Southpaw,5/03/1989,5.48,48%,4.7,45%,0.23,28%,60%,0.5
2711,Nordine Taleb,Chris Clements,Nordine Taleb,15,7,0,0,"6'1""",170,"74""",Orthodox,6/10/1981,3.66,51%,2.62,66%,1.94,76%,73%,0.0,12,6,0,1,"5'10""",170,"70""",Orthodox,2/09/1976,3.2,49%,2.37,44%,0.0,0%,32%,0.3
