,Unnamed: 0,fighter_name,id
7558,7559,Chris Spang,411d012af19ecb59
8135,8136,Chris Tickle,1d1b85389a05df69
8941,8942,Chris Tuchscherer,df05aa15b2d66f57
4340,4341,Chris Wade,c8097968da5e5f13
8355,8356,Chris Weidman,3a8176e15b9887c1
9921,9922,Chris Wilson,a56607a451e4c70d
2204,2205,Chris de la Rocha,e51ee8ded927fc51
573,574,Christian Aguilera,ae071698e1a3ccd4
3341,3342,Christian Colombo,9123c54d0a2b72dd
8867,8868,Christian Morecraft,80779d7441af1b52
10436,10437,Christian Wellisch,f1b2a4365799c48b
3210,3211,Christina Marks,c7be22a47a58365a
12013,12014,Christophe Leninger,7269329bd87eb479
234,235,Christos Giagos,de45aaae23dfa392
11422,11423,Chuck Liddell,a390eb8a9b2df298
8792,8793,Chuck O'Neil,56bc9ccb609df534
3779,3780,Cindy Dandois,9eef6584fab21fbb
57,58,Ciryl Gane,787bb1f087ccff8a
8841,8842,Claude Patrick,56116a79e4deed06
2216,2217,Claudia Gadelha,ec34349e7dffcde7
1420,1421,Claudio Puelles,d747eb273a40a920
2764,2765,Claudio Silva,6f7c616b98e18c29
6307,6308,Clay Collard,cc900c6a71ed23f3
7694,7695,Clay Guida,c47df9303d318c67
8638,8639,Clay Harvison,83a477a7dba1ca58
8337,8338,Clifford Starks,5abf827d62f98fee
7009,7010,Clint Hester,92b62174c175ce19
6402,6403,Cody Donovan,7bc96507e4b38d3b
233,234,Cody Durden,7f6ed67d3ed3c036
4751,4752,Cody East,5713c1d2fac539ac
4428,4429,Cody Garbrandt,d8c7c61b176e3994
6485,6486,Cody Gibson,700a674c042b7a96
8976,8977,Cody McKenzie,7be63795363029e8
5079,5080,Cody Pfister,5904b0b38dc6718d
838,839,Cody Stamann,bf7ad5628363eec9
6337,6338,Colby Covington,dc9572dd6ec74859
8824,8825,Cole Escovedo,5df17b3620145578
4048,4049,Cole Miller,282fa667ff9c51ed
556,557,Cole Smith,56709e66f1c6008f
1565,1566,Cole Williams,f9a20a17d712ef7c
7577,7578,Colin Fletcher,7d09200f6a77b20e
10341,10342,Colin Robinson,1a1a4d7a29041d77
7531,7532,Collin Hart,16bf6a73bdd302cd
6482,6483,Colton Smith,2e25c1d983c26311
4419,4420,Conor McGregor,f4c49976c75c5ab2
7733,7734,Constantinos Philippou,05560764359161e4
5183,5184,Corey Anderson,5e4eec08896c9423
10163,10164,Corey Hill,abbc737317f66b81
888,889,Cortney Casey,5f179af5fffeb9f6
4574,4575,Cory Hendricks,9ab9912e0f8fa6d6
325,326,Cory McKenna,3351aa64aa83c4d9
423,424,Cory Sandhagen,65f09bacd3957381
10827,10828,Cory Walmsley,83c6c3e0f8bde8ee
9106,9107,Court McGee,523fa774700d7d3f
11733,11734,Courtney Turner,56f4b81ec4db61af
10839,10840,Crafton Wallace,bf41b5131545da12
2499,2500,Craig White,3dd949593346dbc3
3104,3105,Cristiane Justino,634bb0de2eb043b4
6852,6853,Cristiano Marcello,ff4c3ab594c7fac3
4789,4790,Cristina Stanciu,175852708cb55776
8504,8505,Cub Swanson,d247691a6c0e9034
8036,8037,Cung Le,d4f364dd076bb0e2
9135,9136,Curt Warburton,2721bb808bb2523c
3315,3316,Curtis Blaydes,fa6796c55d6c5440
2178,2179,Curtis Millender,f1928a52590c5532
11509,11510,Curtis Stout,e09dbbd5fe3f0fe2
3889,3890,Cynthia Calvillo,98215d037be5bcb7
4801,4802,Cyril Asker,9be6020024133293
8907,8908,Cyrille Diabate,43563a32c3f10e95
1486,1487,Da-Un Jung,74f9448b97bf8bec
8854,8855,DaMarques Johnson,322a56923b396b4d
3404,3405,Daichi Abe,5140122c3eecd307
11519,11520,Daiju Takase,4f74c8be51db8a37
1237,1238,Dalcha Lungiambula,ce632027bf2a871b
10002,10003,Dale Hartt,058e4e08a1ad8aba
8022,8023,Damacio Page,c96e2ae6021144a1
4919,4920,Damian Grabowski,3f11b5d4bd76a6d9
3723,3724,Damian Stasiak,42a7e90605df3c8a
3676,3677,Damien Brown,d024ed963e8bf7ea
2595,2596,Damir Hadzovic,38c626ca912c7bac
2255,2256,Damir Ismagulov,135d124172a0bea3
507,508,Damon Jackson,29af297d9f1de0f8
10377,10378,Dan Barrera,f12f979b657ab876
11770,11771,Dan Bobish,f348d05403fad037
10950,10951,Dan Christison,b369533a577fa97c
