,fighter_name,id
467,Casey Kenney,e7bba7ce4d6c7b07
468,Heili Alateng,1897b7b913736a7c
469,Luigi Vendramini,2f1a257d6777096d
470,Jessin Ayari,6eaec40f724852f4
471,Israel Adesanya,1338e2c7480bdf9e
472,Paulo Costa,2e5c2aa8e4ab9d82
473,Dominick Reyes,2e19380f34871c6a
474,Jan Blachowicz,99df7d0a2a08a8a8
475,Kai Kara-France,853eb0dd5c0e2149
476,Brandon Royval,6e15f63b6c2e2c15
477,Ketlen Vieira,b9706f80d005036c
478,Sijara Eubanks,4234f0097c83fa62
479,Hakeem Dawodu,2c9d00968f818270
480,Zubaira Tukhugov,aceffa19749c4dc0
481,Brad Riddell,37ed1ab2f8b819f4
482,Alex Da Silva,c3ded6f7155f9ea4
483,Diego Sanchez,82e7929bf6c2b689
484,Jake Matthews,a845f0735bc67405
485,Shane Young,4cd8b03aee1d0138
486,Ludovit Klein,5b86d491d63890c5
487,William Knight,5da33b8fbfa5ee95
488,Aleksa Camur,c2a670b22d2e196f
489,Juan Espino,ccf5dc41417e9daf
490,Jeff Hughes,6a11e325aa60ad02
491,Khadis Ibragimov,c3218c810959d279
492,Danilo Marques,687c15b2eddfaa63
493,Colby Covington,dc9572dd6ec74859
494,Tyron Woodley,effd9de9937996f8
495,Donald Cerrone,1d00756835ca67c9
496,Niko Price,d8da10db80131bec
497,Khamzat Chimaev,767755fd74662dbf
498,Gerald Meerschaert,6ac9bc2953c47345
499,Johnny Walker,c21f26bbde777573
500,Ryan Spann,a67f5afa8d6a1b80
501,Mackenzie Dern,7447e9f28508106a
502,Randa Markos,4a57ebb14315b251
503,Kevin Holland,3a46b268013afede
504,Darren Stewart,a17ad5a5048e8c3f
505,Jordan Espinosa,215a70f073a7b726
506,David Dvorak,9ada30894bf04e19
507,Mirsad Bektic,cbd3e590a85b18c5
508,Damon Jackson,29af297d9f1de0f8
509,Mayra Bueno Silva,cc8c623cca88f54f
510,Mara Romero Borella,82cbb809d5ee565c
511,Jessica-Rose Clark,6c8072b61c276e67
512,Sarah Alpar,49b130de1da2e1bf
513,Darrick Minner,34e516ab361afb1c
514,TJ Laramie,cd2e5a390821fb48
515,Journey Newson,78f485f851891d68
516,Randy Costa,325ad0dd9126d3df
517,Andre Ewell,5f6f049d54728e88
518,Irwin Rivera,06a80a685ea98573
519,Tyson Nam,6e00cfffd54653c4
520,Jerome Rivera,c9587d81e1d33925
521,Michelle Waterson,eb04b9d31e938edb
522,Angela Hill,f0feeb2192937424
523,Ottman Azaitar,ee18ff42063174df
524,Khama Worthy,78e501478a36a018
525,Roxanne Modafferi,4498b382c65a7faa
526,Andrea Lee,05fa626cb33d15b8
527,Ed Herman,06f36cf4bd97ec77
528,Mike Rodriguez,18b602842a24f7c5
529,Bobby Green,887961364be5ceb3
530,Alan Patrick,cd7763bcadb5d4c8
531,Billy Quarantillo,aa171d55d4b5208f
532,Kyle Nelson,31f8081c7600da93
533,Julia Avila,86d9dbe1bfcbade7
534,Sijara Eubanks,4234f0097c83fa62
535,Roosevelt Roberts,37c5366d18ed6c05
536,Kevin Croom,35b3772629e27a49
537,Alexandr Romanov,c0badf3243907e59
538,Roque Martinez,2c5a0b8317f8f27a
539,Brok Weaver,7c9f96f9a6a5cd50
540,Jalin Turner,4d8fa64202cee4c1
541,Bryan Barberena,a331233f597090a5
542,Anthony Ivy,3c5005b66696d790
543,Sabina Mazo,70d2329a92864fdb
544,Justine Kish,928ae2e5b5f7a9ec
545,Alistair Overeem,b4ad3a06ee4d660c
546,Augusto Sakai,441eacbe20e0e80b
547,Ovince Saint Preux,50db8711c70196cd
548,Alonzo Menifield,a495f599e787614f
549,Michel Pereira,595db60957de51d3
550,Zelim Imadaev,7f0f171414d0a287
551,Andre Muniz,886264a0c9f4ea5e
552,Bartosz Fabinski,e17ac6410c8377f4
553,Brian Kelleher,7be14eaed4c74856
554,Ray Rodriguez,90e0985df05e51bc
555,Viviane Araujo,36541f1e6c5d4955
556,Montana De La Rosa,80d8aed0ca9b00f3
557,Cole Smith,56709e66f1c6008f
