,event_id,event_name
307,eae4aec1a5a8ff01,UFC 166: Velasquez vs Dos Santos 3
308,43612456979e5d5e,UFC Fight Night: Maia vs Shields
309,df5a77121ba84a5d,UFC 165: Jones vs Gustafsson
310,b23fca14c7b79935,UFC Fight Night: Teixeira vs Bader
311,980b4e712489098e,UFC 164: Henderson vs Pettis 2
312,e5c38954c006f15c,UFC Fight Night: Condit vs Kampmann 2
313,cf1a88371c8cb690,UFC Fight Night: Shogun vs Sonnen
314,ebc5af72ad5a28cb,UFC 163: Aldo vs Jung
315,5330fe7e4c3af81c,UFC on FOX: Johnson vs Moraga
316,e0b74df14f52cd15,UFC 162: Silva vs Weidman
317,8fd1f27e86661ede,UFC 161: Evans vs Henderson
318,7865707fd684d77b,UFC on FUEL TV: Nogueira vs. Werdum
319,3c241737a6069b9f,UFC 160: Velasquez vs Silva 2
320,030f08370fd1c2bb,UFC on FX: Belfort vs. Rockhold
321,ea0ad155451ed1f5,UFC 159: Jones vs Sonnen
322,aa79d5399571068e,UFC on FOX: Henderson vs Melendez
323,ce47f49e5c386a9c,The Ultimate Fighter: Team Jones vs. Team Sonnen Finale
324,6291ac0a3726732f,UFC on FUEL TV: Mousasi vs Latifi
325,f1b2a4365799c48b,UFC 158: St-Pierre vs Diaz
326,83c6c3e0f8bde8ee,UFC on FUEL TV: Silva vs. Stann
327,09c44b317c98bf96,UFC 157: Rousey vs Carmouche
328,4679a38cced7c64a,UFC on FUEL TV: Barao vs McDonald
329,601cf40c09090853,UFC 156: Aldo vs Edgar
330,738acab0c6934dd8,UFC on FOX: Johnson vs Dodson
331,56f4b81ec4db61af,UFC on FX: Belfort vs Bisping
332,c6e6926a81adcd00,UFC 155: Dos Santos vs Velasquez II
333,c6da1c24fe473418,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale
334,e8c170a64dc920ac,UFC on FX: Sotiropoulos vs Pearson
335,d1e6a6536ee62517,UFC on FOX: Henderson vs Diaz
336,d41937647eae9a34,UFC 154: St-Pierre vs Condit
337,319fa1bd3176bded,UFC Macao: Franklin vs Le
338,96d173b7f92aa520,UFC 153: Silva vs Bonnar
339,6a0b80a24f22e152,UFC on FX: Browne vs Bigfoot
340,6cbb7661c3258617,UFC on FUEL TV: Struve vs Miocic
341,53e533db1b8e9712,UFC 152: Jones vs Belfort
342,3c48019bc387b80c,UFC 150: Henderson vs Edgar II
343,f62850b3c7480db9,UFC on FOX: Shogun vs Vera
344,abbc4fc02e0d84b3,UFC 149: Faber vs Barao
345,d3b5ad3b15a64a18,UFC on FUEL TV: Munoz vs Weidman
346,e8efeb9cf33b1941,UFC 148: Silva vs Sonnen 2
347,3da19339ee7051d5,UFC 147: Silva vs Franklin 2
348,505934897b8b4824,UFC on FX: Maynard vs Guida
349,49590e0508b2c19f,UFC on FX: Johnson vs McCall
350,96087e90d900f0ef,The Ultimate Fighter: Live Finale
