,id,fighter_name,total_wins,total_losses,total_draws,total_nc,height,weight,reach,stance,dob,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,td_acc,sub_avg
111,3738e68d2261e60f,Andrei Arlovski,30,20,0,2,"6'3""",240,"77""",Orthodox,"Feb,04,1979",3.48,44%,2.83,57%,0.47,36%,78%,36%,0.3
112,5f2f0da6fd6a84fd,Andrei Semenov,34,9,2,0,"6'0""",185,--,Orthodox,"Jun,17,1977",0.78,15%,2.44,60%,1.74,80%,55%,80%,0.4
113,8a70ceb3edbe757b,Andrew Craig,9,4,0,0,"6'1""",170,"76""",Orthodox,"Jan,15,1986",2.39,40%,3.01,50%,0.53,37%,72%,37%,0.0
114,66ab58d0b3783607,Andrew Holbrook,12,3,0,0,"5'11""",155,"70""",Southpaw,"Feb,06,1986",2.20,49%,3.00,54%,0.85,18%,10%,18%,2.1
115,fccf811c1e8b01c7,Andrew Sanchez,13,6,0,0,"6'1""",185,"74""",Orthodox,"Apr,08,1988",4.48,42%,5.05,51%,1.92,31%,100%,31%,0.0
116,993d385f5a475375,Andy Enz,10,4,0,0,"6'3""",185,"78""",Orthodox,"Aug,15,1991",3.51,23%,5.32,57%,0.00,0%,58%,0%,0.0
117,b6c4451cb13c9303,Andy Ogle,9,6,0,0,"5'8""",145,"69""",Orthodox,"Feb,16,1989",2.24,44%,2.23,50%,1.44,26%,58%,26%,0.0
118,476414d2f18cd059,Andy Wang,7,8,1,1,"5'6""",155,--,Orthodox,"May,28,1977",3.43,36%,10.29,62%,0.00,0%,0%,0%,0.0
119,f0feeb2192937424,Angela Hill,13,9,0,0,"5'3""",115,"64""",Orthodox,"Jan,12,1985",5.66,50%,4.98,64%,0.45,36%,76%,36%,0.1
120,bd878a638e0e3be3,Angela Magana,11,9,0,0,"5'1""",115,"65""",Orthodox,"Aug,02,1983",1.53,28%,4.92,42%,0.40,25%,28%,25%,0.4
121,2937cb502dda0808,Anistavio Medeiros,19,10,0,0,"5'6""",145,--,Orthodox,"May,01,1988",3.64,44%,5.00,47%,0.00,0%,0%,0%,0.0
122,1536a25e16fc299b,Anna Elmose,3,2,0,0,"5'3""",115,--,Orthodox,"Oct,06,1984",3.68,49%,4.64,56%,0.00,0%,33%,0%,0.0
123,7342fcc41a4817fa,Ansar Chalangov,14,5,0,0,"5'9""",170,--,Orthodox,"Oct,30,1979",0.68,66%,1.69,54%,0.00,0%,0%,0%,7.6
124,c5a126ace82a6025,Anthony Birchak,16,7,0,0,"5'8""",135,"69""",Orthodox,"May,16,1986",4.23,36%,3.06,60%,0.60,16%,73%,16%,0.0
125,4f11e9ce318ffbcb,Anthony Christodoulou,12,7,0,0,"5'9""",155,--,Orthodox,"Jul,30,1987",2.19,26%,5.90,45%,0.00,0%,40%,0%,0.0
126,c727c7d31c50c4cf,Anthony Hamilton,15,9,0,0,"6'5""",260,"76""",Orthodox,"Apr,14,1980",3.91,65%,3.02,45%,2.62,42%,78%,42%,0.0
127,093e1f5bb73850be,Anthony Hernandez,8,2,0,1,"6'0""",185,"75""",Orthodox,"Oct,18,1993",4.92,55%,5.09,47%,3.76,66%,70%,66%,1.9
128,3c5005b66696d790,Anthony Ivy,8,4,0,0,"6'2""",185,"74""",Orthodox,"Jan,23,1990",2.50,42%,4.57,51%,4.69,20%,100%,20%,0.0
129,365fee2da473b177,Anthony Johnson,22,6,0,0,"6'2""",205,"78""",Orthodox,"Mar,06,1984",3.25,47%,1.83,60%,2.43,57%,77%,57%,0.6
130,f3a853544e4413c4,Anthony Lapsley,23,7,0,2,"5'9""",170,--,Southpaw,"Feb,13,1980",0.53,34%,0.58,66%,0.00,0%,20%,0%,0.0
131,dedc3bb440d09554,Anthony Macias,26,18,0,0,"5'9""",185,--,Switch,"--,",0.00,0%,0.00,0%,0.00,0%,0%,0%,0.0
132,6bf5a7d3e081ade2,Anthony Njokuani,16,12,0,1,"6'1""",155,"75""",Orthodox,"Mar,01,1980",3.94,46%,2.41,65%,0.50,45%,53%,45%,0.2
133,4b4753d19489297f,Anthony Perosh,15,10,0,0,"6'3""",205,"75""",Orthodox,"Oct,05,1972",2.27,43%,3.77,53%,2.03,22%,33%,22%,1.1
134,cbb682f5fcc44bfc,Anthony Pettis,24,10,0,0,"5'10""",155,"72""",Orthodox,"Jan,27,1987",3.05,47%,3.44,54%,0.61,50%,60%,50%,1.1
135,5331b25a60417ffb,Anthony Rocco Martin,17,6,0,0,"6'0""",170,"73""",Orthodox,"Dec,11,1989",2.68,37%,2.59,58%,0.71,27%,68%,27%,1.0
136,d4c9dcd330403612,Anthony Smith,34,16,0,0,"6'4""",205,"76""",Orthodox,"Jul,26,1988",2.94,46%,4.38,42%,0.49,28%,51%,28%,0.7
137,918d9d89d4d52acc,Anthony Torres,5,3,0,0,"5'8""",170,--,Orthodox,"Jul,31,1978",3.54,48%,7.52,45%,0.00,0%,100%,0%,2.2
138,706f8e2b34e8e18b,Anton Kuivanen,24,10,0,0,"5'8""",155,"72""",Orthodox,"May,01,1984",2.27,38%,1.63,67%,1.20,100%,71%,100%,0.4
139,8c822811eedc11ad,Anton Zafir,7,3,0,0,"5'11""",170,--,Orthodox,"May,10,1987",2.99,64%,2.31,52%,6.11,60%,0%,60%,0.0
140,69b69c0178c4004d,Antoni Hardonk,8,6,0,0,"6'4""",245,"78""",Orthodox,"Feb,05,1976",3.40,61%,3.07,46%,0.00,0%,40%,0%,0.9
141,d7338bcb141abd2c,Antonina Shevchenko,9,2,0,0,"5'8""",125,"67""",Southpaw,"Nov,20,1984",4.09,56%,2.51,54%,0.65,60%,56%,60%,0.7
142,61fb8098ccf81c7f,Antonio Arroyo,9,4,0,0,"6'3""",185,"73""",Orthodox,"Jul,01,1989",3.08,70%,1.72,44%,1.40,41%,32%,41%,0.3
143,9ddfb3369a3b0394,Antonio Banuelos,20,11,1,0,"5'5""",135,"63""",Orthodox,"Sep,23,1979",2.69,33%,3.15,58%,1.62,62%,86%,62%,0.4
144,fae67903c4fe636b,Antonio Braga Neto,9,3,0,1,"6'3""",185,"77""",Orthodox,"Oct,29,1987",1.36,33%,3.92,45%,3.07,37%,0%,37%,0.5
145,52e76bb4b3e852f3,Antonio Carlos Junior,11,5,0,1,"6'2""",185,"79""",Orthodox,"Mar,16,1990",1.95,42%,2.14,52%,3.42,39%,53%,39%,0.8
146,fef3d17e27e916e7,Antonio Carvalho,15,6,0,0,"5'9""",145,"70""",Orthodox,"May,30,1979",3.03,29%,3.62,64%,0.00,0%,100%,0%,0.0
147,81b8b3fb019dc69d,Antonio Dos Santos,6,4,0,0,"5'10""",185,--,Orthodox,"Jul,21,1988",5.40,51%,3.94,43%,0.00,0%,100%,0%,0.0
148,3414b50b08a10600,Antonio McKee,29,6,2,0,"5'8""",155,--,Southpaw,"Mar,12,1970",1.37,45%,0.74,74%,1.47,33%,57%,33%,0.0
149,3795fca327cbcf23,Antonio Mendes,18,13,0,0,"6'3""",205,"77""",Southpaw,"Apr,19,1981",1.34,47%,6.85,22%,2.51,50%,100%,50%,0.0
150,ee9d73f4fee9cbdd,Antonio Rodrigo Nogueira,34,10,1,1,"6'3""",240,"77""",Orthodox,"Jun,02,1976",1.95,42%,2.40,55%,1.30,29%,36%,29%,2.4
151,8349d55cdecd393a,Antonio Silva,19,12,1,0,"6'4""",264,"82""",Orthodox,"Sep,14,1979",2.89,45%,3.09,50%,0.82,29%,66%,29%,0.8
152,69e8c632135af48b,Anying Wang,2,1,0,0,"6'0""",170,--,Orthodox,"Apr,04,1991",1.32,26%,1.63,44%,0.00,0%,33%,0%,0.0
